1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0.6011611170156984,1,1,1,1,0.5196053284635949,0.5741048735531696,0.41466659678612283,0.42820154757547824
1,1,1,1,1,1,1,1,1
96.06968397415696,56.25899728037077,78.25186797885505,1,1,0.22314822650133287,1,0.25854839909441873,0.43702676609254815
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0.5631006880294482,1,0.3722378948646684,1,0.5630963190035609,0.6052419778104494,0.5326304463905966,0.4641320702939763,0.18618461448534102
1,1,1,1,1,1,1,1,1
1,1,0.5039759325920232,1,1,0.49055864267457805,1,0.31041111590766524,0.24401841488984194
1,0.3256897269619906,0.3374947804020578,0.5089170505048568,1,0.39493381991985016,1,0.548227901939602,0.5841005745447472
1,1,1,1,1,1,1,1,1
1,0.5919720806563638,0.3716179646542682,1,0.5554684620077472,0.6156523656772936,1,1,0.1389761932820676
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0.3841561676673271,0.3199420175411951,0.5973332223212843,1,0.29700089774215027,0.3596662856064813,1,0.3621768105970556,0.1160503373718818
1,1,1,1,1,1,1,1,1
1,0.6638165120317828,0.5498492543489615,1,1,0.11657735350787468,1,0.5122857015157041,0.2709401149462348
1,1,0.35023104781997616,1,1,0.5062719290443939,1,0.5963063016341379,0.3300260416668373
1,1,1,1,1,1,1,1,1
0.590753527127958,1,0.6329227465224362,1,1,0.5483046968605352,0.5088826734092649,1,0.3379104475388812
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.5043980539833435,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.5043930979267129
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0.5240283651624825,0.6667302959379863,0.5631705865020835,0.7174214198334726,1,0.563166218175186,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.4871413303871445,1,1
1,1,1,1,0.6792067005112568,1,1,0.3756272457687988,1
1,1,1,1,1,1,1,1,1
1,1,0.5385494880133918,1,0.5199635625695197,1,0.5695189524870001,1,0.18880918152708276
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0.5384247079179139,1,0.5878663807768474,1,0.579555818051431,0.5465850412385009,0.18208458644527115
1,1,1,1,1,1,1,1,1
0.35826594848806903,1,1,1,1,0.3306444068120334,1,0.4250873477073286,0.17929959287519054
1,1,0.39223187987613667,1,1,0.3184416855586411,0.5638644907633359,1,0.17054984802299705
1,1,1,1,1,1,1,1,1
1,0.53622342798883,0.5336493009066545,1,0.696117275133638,0.5362048765111669,1,1,0.3503837893540759
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
